n,A,dens
1.0,120.0,0.0083
0.0,14.0,0.0
0.0,36.0,0.0
7.0,36.0,0.1944
1.0,120.0,0.0083
24.0,540.0,0.0444
3.0,480.0,0.0063
8.0,300.0,0.0267
96.0,315.0,0.3048
0.0,112.0,0.0
16.0,300.0,0.0533
19.0,375.0,0.0507
40.0,360.0,0.1111
4.0,495.0,0.0081
4.0,135.0,0.0296
9.0,210.0,0.0429
13.0,210.0,0.0619
4.0,150.0,0.0267
13.0,540.0,0.0241
2.0,105.0,0.019
5.0,210.0,0.0238
7.0,120.0,0.0583
12.0,225.0,0.0533
82.0,225.0,0.3644
41.0,135.0,0.3037
84.0,270.0,0.3111
13.0,255.0,0.051
4.0,270.0,0.0148
18.0,285.0,0.0632
13.0,225.0,0.0578
17.0,195.0,0.0872
6.0,255.0,0.0235
11.0,165.0,0.0667
12.0,90.0,0.1333
31.0,225.0,0.1378
9.0,540.0,0.0167
0.0,180.0,0.0
0.0,45.0,0.0
3.0,120.0,0.025
3.0,135.0,0.0222
8.0,150.0,0.0533
0.0,150.0,0.0
1.0,315.0,0.0032
4.0,105.0,0.0381
1.0,285.0,0.0035
2.0,135.0,0.0148
2.0,135.0,0.0148
15.0,375.0,0.04
11.0,180.0,0.0611
3.0,300.0,0.01
108.0,300.0,0.36
52.0,150.0,0.3467
5.0,165.0,0.0303
77.0,480.0,0.1604
28.0,495.0,0.0566
21.0,270.0,0.0778
41.0,120.0,0.3417
22.0,165.0,0.1333
9.0,120.0,0.075
4.0,90.0,0.0444
13.0,225.0,0.0578
1.0,180.0,0.0056
2.0,540.0,0.0037
115.0,240.0,0.4792
57.0,330.0,0.1727
15.0,240.0,0.0625
15.0,165.0,0.0909
10.0,90.0,0.1111
25.0,300.0,0.0833
9.0,360.0,0.025
29.0,630.0,0.046
23.0,285.0,0.0807
28.0,270.0,0.1037
17.0,270.0,0.063
23.0,285.0,0.0807
55.0,83.0,0.6667
8.0,135.0,0.0593
36.0,330.0,0.1091
87.0,90.0,0.9667
66.0,135.0,0.4889
92.0,195.0,0.4718
60.0,225.0,0.2667
6.0,60.0,0.1
18.0,240.0,0.075
22.0,315.0,0.0698
21.0,135.0,0.1556
20.0,360.0,0.0556
44.0,285.0,0.1544
58.0,87.0,0.6667
8.0,225.0,0.0356
174.0,244.0,0.7143
