,#flies,#moths
1,0,1915
2,0,586
3,0,532
4,0,511
5,0,492
6,0,476
7,0,463
8,0,451
9,0,426
10,0,416
11,0,412
12,0,409
13,0,406
14,0,406
15,0,407
16,0,409
17,0,416
18,0,420
19,0,427
20,0,431
21,0,441
22,0,446
23,0,451
24,0,457
25,0,462
26,0,468
27,0,475
28,0,488
29,0,495
30,0,509
31,0,532
32,0,566
33,0,593
34,0,632
35,0,663
36,0,674
37,0,732
38,0,835
39,0,1038
40,0,1249
41,0,1477
42,0,1773
43,0,878
44,0,1629
45,0,1244
46,0,1137
47,0,1040
48,0,754
49,0,703
50,0,621
51,0,557
52,0,441
53,0,420
54,0,407
55,0,405
56,0,406
57,0,414
58,0,423
59,0,481
60,0,502
61,0,524
62,0,541
63,0,557
64,0,575
65,0,584
66,0,612
67,0,643
68,0,653
69,0,685
70,0,708
71,0,744
72,0,769
73,0,849
74,0,864
75,0,878
76,0,893
77,0,1021
78,0,1056
79,0,1074
80,0,1092
81,0,1148
82,0,1270
83,0,1336
84,0,1358
85,0,1381
86,0,1502
87,0,1580
88,0,1607
89,0,1634
90,0,1777
91,0,1837
92,0,2240
93,0,2774
94,0,2920
95,0,1921
96,0,1362
97,0,1244
98,0,1136
99,0,954
100,0,812
101,0,754
102,0,703
103,6000,2488
104,6000,2358
105,6000,955
106,6000,879
107,6000,411
108,6000,436
109,6000,517
110,6000,549
111,6000,622
112,6000,697
113,6000,720
114,6000,795
115,6000,808
116,6000,822
117,6000,908
118,6000,923
119,6000,955
120,6000,1110
121,6000,1208
122,6000,1228
123,6000,1292
124,6000,1313
125,6000,1405
126,6000,1453
127,6000,1528
128,6000,1718
129,6000,1963
130,6000,2098
131,6000,2543
132,6000,2810
133,6000,2985
134,6000,2865
135,6000,2487
136,6000,2357
137,6000,2217
138,6000,1491
139,6000,2064
140,6000,1774
141,6000,1492
142,6000,1363
143,6000,812
144,6000,659
145,6000,433
146,6000,603
147,6000,782
148,6000,971
149,6000,1168
150,6000,1187
151,6000,1429
152,6000,1554
153,6000,1868
154,6000,1931
155,6000,2030
156,6000,2064
157,6000,2133
158,6000,2466
159,6000,2582
160,6000,2698
161,6000,2736
162,6000,2845
163,6000,3013
164,6000,2794
165,6000,2071
166,6015,756
167,6015,939
168,6015,987
169,6015,1004
170,6015,1129
171,6015,1747
172,6015,1996
173,6015,2204
174,6015,2621
175,6015,2879
176,6015,2910
177,6015,2938
178,6015,2964
179,6015,3010
180,6015,2962
181,6015,1040
182,7519,1662
183,7519,1690
184,7519,1899
185,7519,2314
186,7519,2351
187,7519,2389
188,7519,2990
189,7519,2707
190,9023,2211
191,9023,2168
192,9023,2277
193,9023,2504
194,9023,3000
195,9023,3006
196,9023,1628
197,10526,1807
198,10526,2427
199,12030,2660
200,16541,2604
