,#flies,#moths
1,0,405
2,0,406
3,0,407
4,0,409
5,0,411
6,0,412
7,0,414
8,0,416
9,0,420
10,0,423
11,0,426
12,0,427
13,0,431
14,0,433
15,0,436
16,0,441
17,0,446
18,0,451
19,0,457
20,0,462
21,0,463
22,0,468
23,0,475
24,0,476
25,0,481
26,0,488
27,0,492
28,0,495
29,0,502
30,0,509
31,0,511
32,0,517
33,0,524
34,0,532
35,0,541
36,0,549
37,0,557
38,0,566
39,0,575
40,0,584
41,0,586
42,0,593
43,0,603
44,0,612
45,0,621
46,0,622
47,0,632
48,0,643
49,0,653
50,0,659
51,0,663
52,0,674
53,0,685
54,0,697
55,0,703
56,0,708
57,0,720
58,0,732
59,0,744
60,0,754
61,0,756
62,0,769
63,0,782
64,0,795
65,0,808
66,0,812
67,0,822
68,0,835
69,0,849
70,0,864
71,0,878
72,0,879
73,0,893
74,0,908
75,0,923
76,0,939
77,0,954
78,0,955
79,0,971
80,0,987
81,0,1004
82,0,1021
83,0,1038
84,0,1040
85,0,1056
86,0,1074
87,0,1092
88,0,1110
89,0,1129
90,0,1136
91,0,1137
92,0,1148
93,0,1168
94,0,1187
95,0,1208
96,0,1228
97,0,1244
98,0,1244
99,0,1249
100,0,1270
101,0,1292
102,0,1313
103,0,1336
104,0,1358
105,0,1362
106,0,1363
107,0,1381
108,0,1405
109,0,1429
110,0,1453
111,0,1477
112,0,1491
113,0,1492
114,0,1502
115,0,1528
116,0,1554
117,0,1580
118,0,1607
119,0,1628
120,0,1629
121,0,1634
122,0,1662
123,0,1690
124,0,1718
125,0,1747
126,0,1773
127,0,1774
128,0,1777
129,0,1807
130,0,1837
131,0,1868
132,0,1899
133,0,1915
134,0,1921
135,0,1931
136,0,1963
137,0,1996
138,0,2030
139,0,2064
140,0,2064
141,0,2071
142,0,2098
143,0,2133
144,0,2168
145,0,2204
146,0,2211
147,0,2217
148,0,2240
149,0,2277
150,0,2314
151,0,2351
152,0,2357
153,0,2358
154,0,2389
155,0,2427
156,0,2466
157,0,2487
158,0,2488
159,0,2504
160,0,2543
161,0,2582
162,0,2604
163,0,2621
164,0,2660
165,0,2698
166,0,2707
167,0,2736
168,0,2774
169,0,2794
170,0,2810
171,0,2845
172,0,2865
173,0,2879
174,0,2910
175,0,2920
176,0,2938
177,0,2962
178,0,2964
179,0,2985
180,0,2990
181,0,3000
182,0,3006
183,0,3010
184,0,3013
