,#flies,#moths
0,13500,8000
1,15000,8000
2,16500,8000
3,18000,8000
4,19500,8000
5,21000,8000
6,22500,8000
7,24000,8000
8,25500,8000
9,27000,8000
10,28500,8000
11,30000,8000
12,31500,8000
13,33000,8000
14,34500,8000
15,36000,8000
16,37500,8000
17,16500,8400
18,18000,8400
19,19500,8400
20,21000,8400
21,22500,8400
22,24000,8400
23,25500,8400
24,27000,8400
25,28500,8400
26,30000,8400
27,31500,8400
28,25500,8800
29,27000,8800
30,28500,8800
31,30000,8800
32,31500,8800
33,33000,8800
34,34500,8800
35,36000,8800
36,37500,8800
37,39000,8800
38,0,9000
39,1500,9000
40,22500,9000
41,24000,9000
42,25500,9000
43,27000,9000
44,28500,9000
45,30000,9000
46,31500,9000
47,33000,9000
48,34500,9000
49,36000,9000
50,37500,9000
51,39000,9000
52,0,9200
53,1500,9200
54,3000,9200
55,4500,9200
56,6000,9200
57,7500,9200
58,9000,9200
59,10500,9200
60,12000,9200
61,13500,9200
62,15000,9200
63,16500,9200
64,18000,9200
65,19500,9200
66,21000,9200
67,22500,9200
68,24000,9200
69,25500,9200
70,27000,9200
71,28500,9200
72,30000,9200
73,31500,9200
74,33000,9200
75,34500,9200
76,36000,9200
77,0,9400
78,1500,9400
79,3000,9400
80,4500,9400
81,6000,9400
82,7500,9400
83,9000,9400
84,10500,9400
85,12000,9400
86,13500,9400
87,15000,9400
88,16500,9400
89,18000,9400
90,19500,9400
91,21000,9400
92,22500,9400
93,24000,9400
94,25500,9400
95,0,9800
96,1500,9800
97,3000,9800
98,4500,9800
99,6000,9800
100,7500,9800
101,9000,9800
102,10500,9800
103,12000,9800
104,13500,9800
105,15000,9800
106,16500,9800
107,18000,9800
108,19500,9800
109,21000,9800
110,22500,9800
111,24000,9800
112,25500,9800
113,27000,9800
114,28500,9800
